"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"72269","2478","64065","2451","475","286","53040","2810","10550","2173","8204","1763","0500000US01003","Baldwin County, Alabama"
"44323","1860","36789","2023","102","171","30196","1985","6491","1391","7534","1128","0500000US01015","Calhoun County, Alabama"
"30798","1373","24859","1674","304","235","20530","1839","4025","876","5939","987","0500000US01043","Cullman County, Alabama"
"26247","1210","19188","1656","322","272","14822","1615","4044","1042","7059","1251","0500000US01049","DeKalb County, Alabama"
"29615","1069","25216","1461","149","160","23118","1483","1949","552","4399","952","0500000US01051","Elmore County, Alabama"
"39332","1467","32315","1805","259","181","26878","1718","5178","1093","7017","1137","0500000US01055","Etowah County, Alabama"
"38870","945","30825","1076","675","253","26304","1167","3846","438","8045","712","0500000US01069","Houston County, Alabama"
"264781","3811","222578","4679","995","409","185509","4811","36074","3151","42203","3108","0500000US01073","Jefferson County, Alabama"
"38762","1292","30558","1649","105","100","22098","1875","8355","1400","8204","1313","0500000US01077","Lauderdale County, Alabama"
"58191","1704","52646","2089","540","377","44777","2435","7329","1458","5545","1098","0500000US01081","Lee County, Alabama"
"31590","1339","26215","1614","585","369","22167","1547","3463","871","5375","1098","0500000US01083","Limestone County, Alabama"
"140959","2459","125526","2948","425","272","113158","3005","11943","1729","15433","1974","0500000US01089","Madison County, Alabama"
"33972","1300","27812","1707","11","16","24070","1670","3731","864","6160","1168","0500000US01095","Marshall County, Alabama"
"152938","2669","118104","3437","331","208","98638","3321","19135","1756","34834","2923","0500000US01097","Mobile County, Alabama"
"90103","2322","75725","2741","415","360","65645","2670","9665","1693","14378","1689","0500000US01101","Montgomery County, Alabama"
"46990","1491","39591","1825","61","95","32240","2035","7290","1513","7399","1480","0500000US01103","Morgan County, Alabama"
"31856","1252","25615","1701","212","312","22438","1938","2965","919","6241","1158","0500000US01115","St. Clair County, Alabama"
"76798","1465","70093","1846","269","225","62530","2300","7294","1230","6705","1236","0500000US01117","Shelby County, Alabama"
"31379","1404","23420","1831","86","135","18562","1714","4772","1207","7959","1505","0500000US01121","Talladega County, Alabama"
"71195","2064","59927","2107","79","93","53625","2077","6223","1174","11268","1364","0500000US01125","Tuscaloosa County, Alabama"
"24452","1286","18708","1343","173","140","14593","1155","3942","860","5744","987","0500000US01127","Walker County, Alabama"
"104936","1982","98677","2238","377","323","88443","2776","9857","1855","6259","1276","0500000US02020","Anchorage Municipality, Alaska"
"35475","1435","33716","1665","144","179","29496","1695","4076","1146","1759","739","0500000US02090","Fairbanks North Star Borough, Alaska"
"30665","738","29070","845","255","134","26064","827","2751","503","1595","397","0500000US02170","Matanuska-Susitna Borough, Alaska"
"19855","803","10518","807","324","170","6987","797","3207","635","9337","719","0500000US04001","Apache County, Arizona"
"50202","2223","41845","2303","208","185","36810","2221","4827","996","8357","1159","0500000US04003","Cochise County, Arizona"
"45911","1843","40055","1958","238","180","35140","1990","4677","896","5856","784","0500000US04005","Coconino County, Arizona"
"1480327","8391","1322256","9048","5796","1004","1190465","10406","125995","5668","158071","6235","0500000US04013","Maricopa County, Arizona"
"83801","3330","71145","3486","483","243","62750","3244","7912","1464","12656","1854","0500000US04015","Mohave County, Arizona"
"33772","1686","24022","1580","116","85","18845","1429","5061","737","9750","943","0500000US04017","Navajo County, Arizona"
