"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","id","Geographic Area Name"
"21559","366","19711","418","19","20","17768","432","1924","373","1848","219","0500000US01001","Autauga County, Alabama"
"84047","1143","77122","1404","340","163","71069","1527","5713","771","6925","674","0500000US01003","Baldwin County, Alabama"
"9322","338","7437","343","34","23","5964","370","1439","249","1885","253","0500000US01005","Barbour County, Alabama"
"7259","299","6041","348","3","23","5462","326","576","167","1218","284","0500000US01007","Bibb County, Alabama"
"21205","430","18032","579","87","67","16701","629","1244","254","3173","353","0500000US01009","Blount County, Alabama"
"3429","195","2732","268","24","46","2059","292","649","180","697","187","0500000US01011","Bullock County, Alabama"
"6649","282","5275","302","39","39","4774","304","462","95","1374","202","0500000US01013","Butler County, Alabama"
"44572","642","39498","717","89","58","35206","910","4203","410","5074","456","0500000US01015","Calhoun County, Alabama"
"13582","418","11635","434","43","29","9980","416","1612","303","1947","266","0500000US01017","Chambers County, Alabama"
"10836","476","8999","478","52","39","8073","484","874","201","1837","312","0500000US01019","Cherokee County, Alabama"
"17140","358","14413","479","52","42","12663","471","1698","330","2727","353","0500000US01021","Chilton County, Alabama"
"5330","255","4166","218","36","39","3328","259","802","159","1164","215","0500000US01023","Choctaw County, Alabama"
"9323","439","7186","385","56","37","5774","359","1356","252","2137","370","0500000US01025","Clarke County, Alabama"
"5153","269","4211","311","8","10","3651","316","552","146","942","189","0500000US01027","Clay County, Alabama"
"5835","194","4844","265","13","15","4092","255","739","159","991","220","0500000US01029","Cleburne County, Alabama"
"19951","457","17877","449","102","57","16368","492","1407","212","2074","242","0500000US01031","Coffee County, Alabama"
"21797","514","17978","657","89","54","15667","573","2222","379","3819","451","0500000US01033","Colbert County, Alabama"
"4585","297","3229","319","2","4","2816","334","411","164","1356","225","0500000US01035","Conecuh County, Alabama"
"4016","203","3534","233","10","11","3018","240","506","136","482","140","0500000US01037","Coosa County, Alabama"
"14995","400","12167","432","113","52","11129","480","925","188","2828","325","0500000US01039","Covington County, Alabama"
"5011","209","3980","221","28","23","3303","224","649","147","1031","160","0500000US01041","Crenshaw County, Alabama"
"31733","507","27124","611","145","79","24518","574","2461","381","4609","418","0500000US01043","Cullman County, Alabama"
"19405","433","17121","512","105","65","15412","547","1604","259","2284","359","0500000US01045","Dale County, Alabama"
"15409","422","11719","492","93","83","10828","520","798","149","3690","413","0500000US01047","Dallas County, Alabama"
"26365","479","22641","543","70","57","20398","624","2173","312","3724","380","0500000US01049","DeKalb County, Alabama"
"29794","557","26849","586","42","36","24496","660","2311","406","2945","402","0500000US01051","Elmore County, Alabama"
"12931","629","9579","593","54","42","8219","471","1306","309","3352","392","0500000US01053","Escambia County, Alabama"
"38765","578","33745","788","64","46","30524","776","3157","371","5020","509","0500000US01055","Etowah County, Alabama"
"6805","271","5410","306","18","20","4713","299","679","183","1395","194","0500000US01057","Fayette County, Alabama"
"11017","380","8075","452","16","14","6867","411","1192","304","2942","392","0500000US01059","Franklin County, Alabama"
"10572","378","8879","405","90","54","7383","411","1406","319","1693","256","0500000US01061","Geneva County, Alabama"
"3178","229","2182","276","0","17","1666","261","516","161","996","202","0500000US01063","Greene County, Alabama"
"5490","292","4045","309","4","8","3390","313","651","148","1445","205","0500000US01065","Hale County, Alabama"
"6556","285","5639","295","17","19","5014","306","608","145","917","170","0500000US01067","Henry County, Alabama"
"39784","366","34088","468","146","42","30655","451","3287","278","5696","313","0500000US01069","Houston County, Alabama"
"20367","519","16819","588","68","58","15083","588","1668","263","3548","375","0500000US01071","Jackson County, Alabama"
"263801","1463","236592","1892","377","117","216256","2207","19959","1432","27209","1447","0500000US01073","Jefferson County, Alabama"
"5631","266","4363","274","26","26","3638","296","699","199","1268","208","0500000US01075","Lamar County, Alabama"
"38513","524","33280","686","129","65","29440","826","3711","463","5233","592","0500000US01077","Lauderdale County, Alabama"
"12551","349","9735","475","69","47","8324","490","1342","244","2816","401","0500000US01079","Lawrence County, Alabama"
"60731","889","56236","1040","143","101","50941","1168","5152","659","4495","652","0500000US01081","Lee County, Alabama"
"32725","538","29326","602","74","54","26935","710","2317","397","3399","305","0500000US01083","Limestone County, Alabama"
"4213","229","3117","216","7","8","2189","183","921","176","1096","170","0500000US01085","Lowndes County, Alabama"
"7592","288","6252","350","33","29","5006","314","1213","202","1340","166","0500000US01087","Macon County, Alabama"
"151628","957","142534","1123","296","162","133004","1288","9234","887","9094","755","0500000US01089","Madison County, Alabama"
"7499","305","5826","379","26","24","4828","403","972","222","1673","281","0500000US01091","Marengo County, Alabama"
"11780","412","9605","443","49","36","8113","450","1443","283","2175","325","0500000US01093","Marion County, Alabama"
"35115","536","30862","607","41","21","29029","655","1792","250","4253","410","0500000US01095","Marshall County, Alabama"
