"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"71307","3086","59307","3327","437","251","48541","3085","10329","2044","12000","1813","0500000US01003","Baldwin County, Alabama"
"46087","1647","37958","1814","464","387","30562","1864","6932","1451","8129","1174","0500000US01015","Calhoun County, Alabama"
"30424","1303","23253","1395","407","365","17628","1670","5218","1126","7171","1270","0500000US01043","Cullman County, Alabama"
"24720","1328","17720","1499","240","176","13890","1531","3590","849","7000","1217","0500000US01049","DeKalb County, Alabama"
"28352","1287","23607","1418","112","195","21336","1395","2159","677","4745","912","0500000US01051","Elmore County, Alabama"
"39714","1503","31502","1814","244","201","25421","1725","5837","1193","8212","1260","0500000US01055","Etowah County, Alabama"
"38825","833","29512","924","686","215","23766","927","5060","573","9313","784","0500000US01069","Houston County, Alabama"
"261980","3474","213636","4543","1033","380","176741","4690","35862","2906","48344","2911","0500000US01073","Jefferson County, Alabama"
"38093","1293","27529","1522","189","181","21645","1562","5695","992","10564","1149","0500000US01077","Lauderdale County, Alabama"
"57880","2012","49504","2266","46","82","43079","2400","6379","1424","8376","1430","0500000US01081","Lee County, Alabama"
"31638","1357","25249","1592","154","153","21961","1764","3134","895","6389","1300","0500000US01083","Limestone County, Alabama"
"140771","2234","122343","3387","461","252","108987","3635","12895","1800","18428","2304","0500000US01089","Madison County, Alabama"
"34872","1287","25207","1784","77","73","20366","1636","4764","975","9665","1262","0500000US01095","Marshall County, Alabama"
"153450","2729","118778","2878","628","250","99081","3208","19069","2072","34672","2256","0500000US01097","Mobile County, Alabama"
"89415","1703","73834","1952","172","149","64716","2509","8946","1617","15581","1489","0500000US01101","Montgomery County, Alabama"
"45016","1420","36197","1705","903","540","29392","1650","5902","1162","8819","1361","0500000US01103","Morgan County, Alabama"
"32267","1254","25612","1520","613","440","21514","1696","3485","1100","6655","1144","0500000US01115","St. Clair County, Alabama"
"75714","1580","68252","1936","473","284","61140","1782","6639","1087","7462","1227","0500000US01117","Shelby County, Alabama"
"30649","1481","23181","1785","378","271","18309","1770","4494","1121","7468","1236","0500000US01121","Talladega County, Alabama"
"68320","2407","55621","2422","300","210","49310","2344","6011","1115","12699","1519","0500000US01125","Tuscaloosa County, Alabama"
"25211","1095","18465","1170","258","266","13868","1168","4339","927","6746","888","0500000US01127","Walker County, Alabama"
"104683","1844","99954","1990","434","265","90243","2207","9277","1424","4729","1188","0500000US02020","Anchorage Municipality, Alaska"
"35692","1359","33060","1570","141","206","29281","1873","3638","1025","2632","907","0500000US02090","Fairbanks North Star Borough, Alaska"
"30766","689","28403","825","202","122","26344","907","1857","403","2363","427","0500000US02170","Matanuska-Susitna Borough, Alaska"
