"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","id","Geographic Area Name"
"21397","325","19096","425","23","20","17131","470","1942","310","2301","310","0500000US01001","Autauga County, Alabama"
"80930","1127","73588","1260","348","139","65900","1270","7340","749","7342","825","0500000US01003","Baldwin County, Alabama"
"9345","313","7213","295","53","31","5593","295","1567","247","2132","233","0500000US01005","Barbour County, Alabama"
"6891","333","5382","324","49","48","4698","340","635","190","1509","260","0500000US01007","Bibb County, Alabama"
"20847","394","16877","527","111","68","15009","615","1757","307","3970","428","0500000US01009","Blount County, Alabama"
"3521","255","2720","300","9","15","2104","269","607","223","801","205","0500000US01011","Bullock County, Alabama"
"6506","290","4771","303","70","56","4082","292","619","128","1735","237","0500000US01013","Butler County, Alabama"
"44605","644","38232","778","107","79","33183","875","4942","494","6373","502","0500000US01015","Calhoun County, Alabama"
"13448","405","10682","476","50","44","9201","427","1431","239","2766","315","0500000US01017","Chambers County, Alabama"
"10737","445","8744","419","53","37","7561","432","1130","228","1993","309","0500000US01019","Cherokee County, Alabama"
"16927","473","13553","562","75","64","11506","493","1972","372","3374","387","0500000US01021","Chilton County, Alabama"
"5300","267","4042","242","48","42","3230","259","764","187","1258","171","0500000US01023","Choctaw County, Alabama"
"9090","350","6388","358","48","36","5128","378","1212","209","2702","318","0500000US01025","Clarke County, Alabama"
"5198","240","4221","262","16","23","3608","283","597","169","977","176","0500000US01027","Clay County, Alabama"
"5680","199","4624","214","45","31","3626","218","953","174","1056","165","0500000US01029","Cleburne County, Alabama"
"19924","343","17459","385","183","66","15770","411","1506","224","2465","272","0500000US01031","Coffee County, Alabama"
"21880","440","17773","509","121","54","15198","546","2454","322","4107","362","0500000US01033","Colbert County, Alabama"
"4553","274","2798","292","2","3","2369","300","427","148","1755","245","0500000US01035","Conecuh County, Alabama"
"4032","248","3255","256","10","15","2776","241","469","126","777","172","0500000US01037","Coosa County, Alabama"
"14852","376","11679","340","119","53","10396","383","1164","170","3173","313","0500000US01039","Covington County, Alabama"
"4943","207","3795","224","26","20","3195","199","574","118","1148","162","0500000US01041","Crenshaw County, Alabama"
"31034","570","25762","661","161","59","22739","631","2862","397","5272","378","0500000US01043","Cullman County, Alabama"
"18806","470","16315","519","99","55","14203","517","2013","289","2491","293","0500000US01045","Dale County, Alabama"
"15910","419","11999","502","115","72","10829","524","1055","197","3911","389","0500000US01047","Dallas County, Alabama"
"26040","620","21286","682","129","72","18550","691","2607","333","4754","398","0500000US01049","DeKalb County, Alabama"
"29708","497","26221","592","72","42","23756","594","2393","380","3487","375","0500000US01051","Elmore County, Alabama"
"13089","449","9042","475","77","56","7861","452","1104","196","4047","401","0500000US01053","Escambia County, Alabama"
"38942","643","33180","707","129","56","29304","664","3747","387","5762","485","0500000US01055","Etowah County, Alabama"
"6802","239","5397","286","22","20","4745","292","630","142","1405","186","0500000US01057","Fayette County, Alabama"
"11048","339","8062","374","18","15","6744","447","1300","251","2986","354","0500000US01059","Franklin County, Alabama"
"10383","331","8382","368","97","55","6898","383","1387","225","2001","270","0500000US01061","Geneva County, Alabama"
"2951","246","1835","313","3","5","1458","276","374","165","1116","256","0500000US01063","Greene County, Alabama"
"5650","231","4089","252","11","12","3419","256","659","135","1561","184","0500000US01065","Hale County, Alabama"
"6630","236","5594","258","32","31","4905","239","657","143","1036","201","0500000US01067","Henry County, Alabama"
"39311","452","32609","448","278","73","29163","436","3168","239","6702","300","0500000US01069","Houston County, Alabama"
"20695","494","16651","525","81","64","14453","523","2117","301","4044","402","0500000US01071","Jackson County, Alabama"
"261231","1769","229504","2105","564","125","205140","2265","23800","1156","31727","1282","0500000US01073","Jefferson County, Alabama"
"5856","268","4475","300","55","38","3670","261","750","153","1381","208","0500000US01075","Lamar County, Alabama"
"38471","588","32247","655","149","84","27468","775","4630","501","6224","473","0500000US01077","Lauderdale County, Alabama"
"12677","322","9708","457","117","78","7806","383","1785","279","2969","350","0500000US01079","Lawrence County, Alabama"
"60237","864","55201","898","228","122","48986","1027","5987","634","5036","527","0500000US01081","Lee County, Alabama"
"32143","509","28297","558","162","93","25556","643","2579","397","3846","407","0500000US01083","Limestone County, Alabama"
"4251","145","2914","201","31","31","2163","192","720","145","1337","159","0500000US01085","Lowndes County, Alabama"
"7474","264","5756","287","32","29","4411","282","1313","182","1718","181","0500000US01087","Macon County, Alabama"
"148189","1035","137171","1043","326","128","127191","1174","9654","704","11018","781","0500000US01089","Madison County, Alabama"
"7361","331","5297","353","38","27","4303","329","956","212","2064","276","0500000US01091","Marengo County, Alabama"
"11997","363","9415","411","69","44","7722","394","1624","259","2582","312","0500000US01093","Marion County, Alabama"
"34883","428","29906","549","29","18","27430","609","2447","325","4977","412","0500000US01095","Marshall County, Alabama"
"156251","1081","132778","1483","1363","388","115058","1663","16357","910","23473","939","0500000US01097","Mobile County, Alabama"
"8166","294","4279","349","52","52","3207","295","1020","223","3887","361","0500000US01099","Monroe County, Alabama"
"89527","878","78385","952","204","98","70345","1010","7836","546","11142","638","0500000US01101","Montgomery County, Alabama"
"45918","654","39192","792","110","60","34079","835","5003","545","6726","623","0500000US01103","Morgan County, Alabama"
"3070","314","1832","305","40","54","1602","323","190","100","1238","249","0500000US01105","Perry County, Alabama"
"7637","279","5833","255","46","34","4978","273","809","175","1804","191","0500000US01107","Pickens County, Alabama"
"11601","426","8703","453","132","91","7634","461","937","175","2898","384","0500000US01109","Pike County, Alabama"
"8702","372","7160","386","168","92","5999","378","993","191","1542","249","0500000US01111","Randolph County, Alabama"
