"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"32172","526","27482","573","313","163","23938","616","3231","484","4690","484","0500000US01115","St. Clair County, Alabama"
"78328","781","73069","862","207","77","67283","830","5579","492","5259","412","0500000US01117","Shelby County, Alabama"
"5047","276","3571","299","20","21","2868","282","683","181","1476","224","0500000US01119","Sumter County, Alabama"
"31407","559","25433","718","135","64","21653","686","3645","507","5974","461","0500000US01121","Talladega County, Alabama"
"16448","444","13130","527","30","27","11411","533","1689","310","3318","362","0500000US01123","Tallapoosa County, Alabama"
"72379","805","62598","967","150","69","55848","1006","6600","564","9781","655","0500000US01125","Tuscaloosa County, Alabama"
"25036","517","20022","536","150","79","16803","592","3069","319","5014","357","0500000US01127","Walker County, Alabama"
"6007","269","4566","317","62","48","3497","331","1007","188","1441","202","0500000US01129","Washington County, Alabama"
"3804","181","2373","222","59","33","1860","196","454","89","1431","184","0500000US01131","Wilcox County, Alabama"
"9403","342","7120","381","81","38","5734","365","1305","241","2283","327","0500000US01133","Winston County, Alabama"
"860","141","744","123","0","9","575","93","169","38","116","28","0500000US02013","Aleutians East Borough, Alaska"
"1176","128","1090","123","4","4","885","102","201","37","86","17","0500000US02016","Aleutians West Census Area, Alaska"
"106524","866","101673","971","299","121","93953","1144","7421","694","4851","493","0500000US02020","Anchorage Municipality, Alaska"
"4558","160","3914","155","0","15","3270","158","644","64","644","63","0500000US02050","Bethel Census Area, Alaska"
"333","41","308","39","6","4","271","31","31","19","25","10","0500000US02060","Bristol Bay Borough, Alaska"
"639","228","606","219","0","9","561","207","45","23","33","20","0500000US02068","Denali Borough, Alaska"
"1420","71","1231","74","2","3","1077","73","152","32","189","29","0500000US02070","Dillingham Census Area, Alaska"
"36513","746","34686","817","269","144","30810","836","3607","510","1827","365","0500000US02090","Fairbanks North Star Borough, Alaska"
"1026","94","983","92","17","21","897","92","69","39","43","25","0500000US02100","Haines Borough, Alaska"
"799","87","672","78","0","9","558","66","114","32","127","30","0500000US02105","Hoonah-Angoon Census Area, Alaska"
"12521","225","11896","248","35","28","11060","329","801","193","625","136","0500000US02110","Juneau City and Borough, Alaska"
"21741","345","19583","365","293","101","16613","422","2677","264","2158","251","0500000US02122","Kenai Peninsula Borough, Alaska"
"5327","130","4884","137","13","12","4416","144","455","78","443","79","0500000US02130","Ketchikan Gateway Borough, Alaska"
"4373","152","3904","183","0","15","3586","187","318","101","469","120","0500000US02150","Kodiak Island Borough, Alaska"
"1692","63","1353","76","0","13","1050","64","303","32","339","35","0500000US02158","Kusilvak Census Area, Alaska"
"425","121","352","102","1","2","259","76","92","32","73","24","0500000US02164","Lake and Peninsula Borough, Alaska"
"30879","363","29098","357","173","49","26556","397","2369","216","1781","156","0500000US02170","Matanuska-Susitna Borough, Alaska"
"2875","114","2550","115","0","13","2059","114","491","51","325","40","0500000US02180","Nome Census Area, Alaska"
"1966","225","1661","223","8","10","1324","200","329","80","305","74","0500000US02185","North Slope Borough, Alaska"
