"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"21054","387","18145","512","70","40","16055","565","2020","354","2909","360","0500000US01001","Autauga County, Alabama"
"76133","1153","66174","1166","604","242","56510","1235","9060","810","9959","794","0500000US01003","Baldwin County, Alabama"
"9191","337","6747","299","132","59","5187","294","1428","178","2444","240","0500000US01005","Barbour County, Alabama"
"6916","308","5176","321","21","21","4270","313","885","211","1740","224","0500000US01007","Bibb County, Alabama"
"20690","392","16175","438","275","122","13499","441","2401","320","4515","429","0500000US01009","Blount County, Alabama"
"3670","204","2357","255","22","23","1760","233","575","190","1313","249","0500000US01011","Bullock County, Alabama"
"7050","313","4818","293","100","50","4002","264","716","118","2232","216","0500000US01013","Butler County, Alabama"
"45099","742","37406","751","247","107","31619","754","5540","541","7693","512","0500000US01015","Calhoun County, Alabama"
"13694","413","9951","408","88","86","8460","429","1403","187","3743","373","0500000US01017","Chambers County, Alabama"
"10795","438","8576","456","43","36","7244","429","1289","230","2219","284","0500000US01019","Cherokee County, Alabama"
"16768","388","12374","504","171","79","9434","484","2769","317","4394","404","0500000US01021","Chilton County, Alabama"
"5463","200","3847","189","58","42","2845","199","944","160","1616","199","0500000US01023","Choctaw County, Alabama"
"9602","271","5635","329","93","46","4453","293","1089","175","3967","312","0500000US01025","Clarke County, Alabama"
"5338","248","4113","299","16","16","3490","291","607","153","1225","188","0500000US01027","Clay County, Alabama"
"5773","182","4264","200","61","41","3315","224","888","150","1509","177","0500000US01029","Cleburne County, Alabama"
"19620","343","16494","395","124","48","14504","440","1866","224","3126","224","0500000US01031","Coffee County, Alabama"
"21983","386","17657","431","172","59","14363","454","3122","298","4326","318","0500000US01033","Colbert County, Alabama"
"4716","255","2430","259","27","26","1920","234","483","116","2286","249","0500000US01035","Conecuh County, Alabama"
"4204","230","2940","204","32","27","2396","195","512","124","1264","158","0500000US01037","Coosa County, Alabama"
"15285","303","11329","364","129","59","9810","360","1390","169","3956","303","0500000US01039","Covington County, Alabama"
"5358","156","3778","194","26","23","3017","198","735","121","1580","173","0500000US01041","Crenshaw County, Alabama"
"31097","567","24529","669","378","135","20077","701","4074","475","6568","551","0500000US01043","Cullman County, Alabama"
"18825","409","15298","475","154","60","12956","493","2188","293","3527","362","0500000US01045","Dale County, Alabama"
"16487","390","11401","494","129","67","9315","443","1957","270","5086","394","0500000US01047","Dallas County, Alabama"
"25482","571","19196","601","187","83","15403","659","3606","392","6286","453","0500000US01049","DeKalb County, Alabama"
"29115","575","25237","673","129","72","22479","614","2629","449","3878","453","0500000US01051","Elmore County, Alabama"
"13226","381","8386","382","123","51","7170","396","1093","179","4840","372","0500000US01053","Escambia County, Alabama"
"39061","611","31505","636","237","89","26357","669","4911","462","7556","459","0500000US01055","Etowah County, Alabama"
"6955","257","5130","262","15","15","4405","242","710","143","1825","180","0500000US01057","Fayette County, Alabama"
"11533","334","8563","418","123","83","6865","442","1575","280","2970","325","0500000US01059","Franklin County, Alabama"
"10693","264","8443","297","202","74","6806","307","1435","209","2250","223","0500000US01061","Geneva County, Alabama"
"3025","223","1688","222","41","41","1238","222","409","141","1337","160","0500000US01063","Greene County, Alabama"
"5664","216","3644","245","26","27","2812","245","806","149","2020","232","0500000US01065","Hale County, Alabama"
"6727","219","5238","244","92","72","4484","273","662","149","1489","166","0500000US01067","Henry County, Alabama"
"39560","359","30928","435","656","141","26473","410","3799","208","8632","362","0500000US01069","Houston County, Alabama"
"20368","433","15281","458","139","75","12601","464","2541","355","5087","447","0500000US01071","Jackson County, Alabama"
"261390","1741","220690","1808","924","157","188849","2006","30917","1351","40700","1057","0500000US01073","Jefferson County, Alabama"
"6019","247","4409","264","65","41","3473","255","871","164","1610","218","0500000US01075","Lamar County, Alabama"
"38634","520","30443","706","364","114","24938","720","5141","464","8191","541","0500000US01077","Lauderdale County, Alabama"
"13056","356","9736","357","231","99","7160","363","2345","305","3320","299","0500000US01079","Lawrence County, Alabama"
"59001","693","52091","865","190","105","45831","954","6070","626","6910","585","0500000US01081","Lee County, Alabama"
"32386","425","26830","539","214","93","23323","670","3293","434","5556","526","0500000US01083","Limestone County, Alabama"
"4309","163","2764","186","65","41","1960","177","739","156","1545","168","0500000US01085","Lowndes County, Alabama"
"7852","258","5537","324","69","38","4013","296","1455","175","2315","204","0500000US01087","Macon County, Alabama"
"142253","1289","127315","1286","598","175","115107","1495","11610","866","14938","905","0500000US01089","Madison County, Alabama"
"7975","303","5335","339","124","82","3968","333","1243","263","2640","314","0500000US01091","Marengo County, Alabama"
"12453","383","9493","378","47","40","8057","390","1389","251","2960","274","0500000US01093","Marion County, Alabama"
"34588","510","27612","601","155","70","24029","649","3428","409","6976","524","0500000US01095","Marshall County, Alabama"
"153794","1166","123108","1452","699","179","105466","1491","16943","1008","30686","1036","0500000US01097","Mobile County, Alabama"
"8207","298","4084","312","25","30","3148","309","911","227","4123","354","0500000US01099","Monroe County, Alabama"
"89776","893","75737","1068","258","103","67042","1130","8437","667","14039","701","0500000US01101","Montgomery County, Alabama"
"45904","622","37992","766","498","159","31925","895","5569","581","7912","654","0500000US01103","Morgan County, Alabama"
"3039","212","1655","246","38","39","1177","226","440","129","1384","172","0500000US01105","Perry County, Alabama"
"7620","287","5407","282","64","35","4535","273","808","180","2213","215","0500000US01107","Pickens County, Alabama"
"12284","369","8805","417","248","197","7363","421","1194","260","3479","305","0500000US01109","Pike County, Alabama"
"8867","306","6811","353","173","84","5693","364","945","160","2056","279","0500000US01111","Randolph County, Alabama"
"22690","526","18197","630","209","102","14197","699","3791","446","4493","474","0500000US01113","Russell County, Alabama"
"32486","467","27537","595","298","123","23339","602","3900","487","4949","473","0500000US01115","St. Clair County, Alabama"
"76868","695","71009","826","279","90","64638","887","6092","592","5859","564","0500000US01117","Shelby County, Alabama"
"5073","231","3285","269","62","56","2516","273","707","167","1788","235","0500000US01119","Sumter County, Alabama"
"31651","519","24854","583","254","101","20511","611","4089","429","6797","448","0500000US01121","Talladega County, Alabama"
"16369","431","12653","445","62","40","11019","417","1572","244","3716","343","0500000US01123","Tallapoosa County, Alabama"
